| Source IP       | Source Port | Destination IP  | Destination Port | Protocol  | TTL | Length | Packet Type  | TCP Flags   |
| 192.168.163.131 | 41605       | 172.217.17.46   | 33503            | UDP       | 24  | 60     | UDP          |             |
| 192.168.163.131 | 56766       | 172.217.17.46   | 33504            | UDP       | 24  | 60     | UDP          |             |
| 192.168.163.131 | 43680       | 172.217.17.46   | 33505            | UDP       | 24  | 60     | UDP          |             |
| 192.168.163.131 | 35390       | 172.217.17.46   | 33506            | UDP       | 25  | 60     | UDP          |             |
| 192.168.163.131 | 54513       | 172.217.17.46   | 33507            | UDP       | 25  | 60     | UDP          |             |
| 192.168.163.131 | 55564       | 172.217.17.46   | 33508            | UDP       | 25  | 60     | UDP          |             |
| 192.168.163.131 | 38687       | 172.217.17.46   | 33509            | UDP       | 26  | 60     | UDP          |             |
| 192.168.163.131 | 39770       | 172.217.17.46   | 33510            | UDP       | 26  | 60     | UDP          |             |
| 192.168.163.131 | 40637       | 172.217.17.46   | 33511            | UDP       | 26  | 60     | UDP          |             |
| 192.168.163.131 | 47685       | 172.217.17.46   | 33512            | UDP       | 27  | 60     | UDP          |             |
| 192.168.163.131 | 42321       | 172.217.17.46   | 33513            | UDP       | 27  | 60     | UDP          |             |
| 192.168.163.131 | 50418       | 157.240.227.60  | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 50418            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 50400       | 157.240.227.60  | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 50400            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 37142       | 57.144.149.32   | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 37142            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 50418       | 157.240.227.60  | 443              | TCP       | 64  | 64     | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 50418            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 50418       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | FIN,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 50418            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 50400       | 157.240.227.60  | 443              | TCP       | 64  | 64     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 50400       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | FIN,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 50400            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.60  | 443         | 192.168.163.131 | 50400            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 37142       | 57.144.149.32   | 443              | TCP       | 64  | 64     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 37142       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | FIN,ACK     |
| 57.144.149.32   | 443         | 192.168.163.131 | 37142            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 57.144.149.32   | 443         | 192.168.163.131 | 37142            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.60  | 443         | 192.168.163.131 | 50418            | TCP       | 128 | 79     | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 50400            | TCP       | 128 | 79     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 50418       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | RST         |
| 192.168.163.131 | 50400       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | RST         |
| 57.144.149.32   | 443         | 192.168.163.131 | 37142            | TCP       | 128 | 79     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 37142       | 57.144.149.32   | 443              | TCP       | 64  | 40     | HTTPS        | RST         |
| 192.168.163.131 | 42961       | 172.217.17.46   | 33514            | UDP       | 27  | 60     | UDP          |             |
| 192.168.163.131 | 34873       | 172.217.17.46   | 33515            | UDP       | 28  | 60     | UDP          |             |
| 192.168.163.131 | 41688       | 172.217.17.46   | 33516            | UDP       | 28  | 60     | UDP          |             |
| 192.168.163.131 | 51263       | 172.217.17.46   | 33517            | UDP       | 28  | 60     | UDP          |             |
| 192.168.163.131 | 49722       | 172.217.17.46   | 33518            | UDP       | 29  | 60     | UDP          |             |
| 192.168.163.131 | 50556       | 172.217.17.46   | 33519            | UDP       | 29  | 60     | UDP          |             |
| 192.168.163.131 | 42017       | 172.217.17.46   | 33520            | UDP       | 29  | 60     | UDP          |             |
| 192.168.163.131 | 54848       | 172.217.17.46   | 33521            | UDP       | 30  | 60     | UDP          |             |
| 192.168.163.131 | 55341       | 172.217.17.46   | 33522            | UDP       | 30  | 60     | UDP          |             |
| 192.168.163.131 | 42289       | 172.217.17.46   | 33523            | UDP       | 30  | 60     | UDP          |             |
| 192.168.163.131 | 42358       | 157.240.227.60  | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 42358            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 42358       | 157.240.227.60  | 443              | TCP       | 64  | 64     | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 42358            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 42358       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | FIN,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 42358            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.60  | 443         | 192.168.163.131 | 42358            | TCP       | 128 | 103    | HTTPS        | FIN,PSH,ACK |
| 192.168.163.131 | 42358       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | RST         |
