Source IP,Source Port,Destination IP,Destination Port,Protocol,TTL,Length,Packet Type,TCP Flags
127.0.0.1,43777,127.0.0.1,6543,TCP,40,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,6543,TCP,40,44,TCP,SYN
127.0.0.1,6543,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,6543,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,648,TCP,51,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,648,TCP,51,44,TCP,SYN
127.0.0.1,648,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,648,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,10002,TCP,52,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,10002,TCP,52,44,TCP,SYN
127.0.0.1,10002,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,10002,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,13722,TCP,38,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,13722,TCP,38,44,TCP,SYN
127.0.0.1,13722,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,13722,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,49,TCP,53,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,49,TCP,53,44,TCP,SYN
127.0.0.1,49,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,49,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,8002,TCP,37,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,8002,TCP,37,44,TCP,SYN
127.0.0.1,8002,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,8002,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,5810,TCP,59,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,5810,TCP,59,44,TCP,SYN
127.0.0.1,5810,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,5810,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1079,TCP,55,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1079,TCP,55,44,TCP,SYN
127.0.0.1,1079,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1079,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,714,TCP,54,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,714,TCP,54,44,TCP,SYN
127.0.0.1,714,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,714,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,10778,TCP,50,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,10778,TCP,50,44,TCP,SYN
127.0.0.1,10778,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,10778,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,6156,TCP,49,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,6156,TCP,49,44,TCP,SYN
127.0.0.1,6156,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,6156,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,6004,TCP,59,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,6004,TCP,59,44,TCP,SYN
127.0.0.1,6004,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
